file,sensor,technology,country,freq_start,freq_end,row,enc_0,enc_1,enc_2,enc_3,enc_4,enc_5,enc_6,enc_7,enc_8,enc_9,enc_10,enc_11,enc_12,enc_13,enc_14,enc_15
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,0,2.7457788,0.0,1.3354834,0.9406475,0.9757804,0.0,1.5681528,0.1494826,2.4826858,0.8125166,0.0,0.0,1.4497247,0.8191306,1.6228944,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,1,2.9769955,0.0,0.85865843,0.939569,0.9782044,0.0,1.3877802,0.17407025,2.091939,0.7609229,0.0,0.0,1.603875,0.4297208,1.5278753,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,2,2.8172338,0.0,1.1810555,1.0002381,0.86699605,0.0,1.7044727,0.38583282,2.04772,0.72621673,0.0,0.0,1.6509097,0.74194986,1.6723181,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,3,2.9941928,0.0,0.8354558,1.079741,0.90934443,0.0,1.4700366,0.089335606,2.1631145,0.7886244,0.0,0.0,1.483835,0.4879397,1.7552338,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,4,2.8456826,0.0,0.9879164,1.0062217,0.71990705,0.0,1.6567894,0.35174152,2.1154826,0.72091323,0.0,0.0,1.5935432,0.79706395,1.8313359,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,5,2.877834,0.0,0.9532134,0.9512525,0.8732066,0.0,1.4899739,0.20060293,2.343162,0.7716994,0.0,0.0,1.5892566,0.7587607,1.7719342,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,6,2.8883116,0.0,1.0843338,1.046694,0.8535602,0.0,1.6086977,0.22872458,2.288768,0.7900884,0.0,0.0,1.5066589,0.699394,1.6979606,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,7,2.4939466,0.0,1.4907457,0.8155061,0.5911303,0.0,1.8618059,0.7671222,2.4355125,0.76231414,0.0,0.0,1.6301663,1.2234352,1.9555837,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,8,2.8126607,0.0,0.99620086,1.0020543,0.8579797,0.0,1.5558083,0.1424318,2.2405043,0.73328173,0.0,0.0,1.4836429,0.7280279,1.7200735,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,9,2.9689445,0.0,1.1651207,1.0525677,0.9314637,0.0,1.7301341,0.26453316,2.2478113,0.7592886,0.0,0.0,1.472883,0.6603489,1.610304,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,10,2.8152475,0.0,1.0348793,0.9473207,0.81350553,0.0,1.5502638,0.2186913,2.339461,0.7576619,0.0,0.0,1.5329982,0.73790383,1.6249464,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,11,3.0050392,0.0,0.8129122,1.1327689,0.9757978,0.0,1.469389,0.0,2.0979538,0.7073629,0.0,0.0,1.4550773,0.49055025,1.550648,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,12,2.9593868,0.0,0.8480225,0.99649423,0.8380905,0.0,1.4687324,0.26889858,2.1862133,0.8184719,0.0,0.0,1.5840846,0.56687194,1.8660791,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,13,2.910371,0.0,1.0299916,0.94714165,0.89586926,0.0,1.5997232,0.31124136,2.2793612,0.78884137,0.0,0.0,1.585203,0.6567818,1.6985385,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,14,2.630402,0.0,0.9747132,0.8593487,0.72500306,0.0,1.5129817,0.34858966,2.3973067,0.7304684,0.0,0.0,1.6712558,0.8781245,1.6869273,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,15,2.6756444,0.0,1.1599301,0.9352536,0.65593326,0.0,1.7620277,0.5384632,2.2897885,0.7815451,0.0,0.0,1.6223167,0.91011393,1.9709358,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,16,2.6631126,0.0,1.6713793,1.019811,0.7236938,0.0,2.0148401,0.80148643,2.3663461,0.8132253,0.0,0.0,1.6559029,1.1647851,1.9873807,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,17,2.7767882,0.0,1.4541209,1.0222875,0.8373608,0.0,1.854627,0.47953096,2.2033522,0.77196074,0.0,0.0,1.516493,0.8487798,1.7171668,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,18,3.0063984,0.0,0.7003934,1.0205855,0.7174762,0.0,1.4849464,0.38907748,2.2046986,0.80044836,0.0,0.0,1.7330089,0.5662887,1.7853022,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,19,2.9227674,0.0,0.7406375,1.0351893,0.8482593,0.0,1.4050703,0.18859231,2.11884,0.7742753,0.0,0.0,1.6423135,0.5643898,1.8221818,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,20,3.5456996,0.0,1.8567053,2.4391413,0.89076203,0.0,3.3403807,0.0,1.9751197,0.94580954,0.0,0.0,1.9570714,0.5183017,1.0015845,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,21,2.917483,0.0,1.116254,1.0786552,0.794024,0.0,1.7787076,0.2995345,2.1534293,0.6694461,0.0,0.0,1.5146099,0.83993304,1.6696298,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,22,2.935868,0.0,0.60166603,0.99144995,0.7425099,0.0,1.388629,0.19142242,2.1654916,0.74649686,0.0,0.0,1.6779522,0.51614046,1.6062222,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,23,2.877784,0.0,0.91400516,1.0253143,0.81084025,0.0,1.5098327,0.3647575,2.15739,0.8321524,0.0,0.0,1.6409925,0.59682274,1.8986948,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,24,2.731653,0.0,1.1457802,1.1025615,0.7858572,0.0,1.6595634,0.27002192,2.1836064,0.7505332,0.0,0.0,1.5048184,0.782805,1.779572,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,25,2.7908654,0.0,1.1580931,1.0164282,0.79680556,0.0,1.6991513,0.3902347,2.1801891,0.7588184,0.0,0.0,1.5733113,0.7911206,1.8525835,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,26,2.9666018,0.0,1.1588132,1.137537,0.83301836,0.0,1.810586,0.37151396,2.152832,0.7819479,0.0,0.0,1.6386288,0.78272223,1.9063088,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,27,2.721722,0.0,1.1854373,1.0075266,0.709401,0.0,1.7350531,0.40391195,2.1653612,0.6987718,0.0,0.0,1.5619882,0.8494607,1.6141167,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,28,2.6542528,0.0,0.82488674,0.92775804,0.54850507,0.0,1.5210763,0.59811234,2.1157386,0.76737565,0.0,0.0,2.0232313,0.8703776,1.9148433,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,29,2.962655,0.0,0.62435126,1.0140197,0.80581427,0.0,1.3654388,0.20047718,2.1831582,0.7811178,0.0,0.0,1.6300039,0.497443,1.7929714,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,30,2.7032704,0.0,1.2013755,1.0130126,0.6754676,0.0,1.6954004,0.50296986,2.1740267,0.76788354,0.0,0.0,1.6231718,0.8777954,1.8651865,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,31,2.827804,0.0,1.0175585,1.081301,0.7955193,0.0,1.6392847,0.27236995,2.1088967,0.731555,0.0,0.0,1.5637172,0.71704245,1.7589096,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,32,2.6496797,0.0,1.1038924,0.9074214,0.72181875,0.0,1.5847796,0.3974938,2.31531,0.78202754,0.0,0.0,1.5865564,0.87624973,1.8828075,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,33,2.6455886,0.0,1.3184572,0.96174765,0.7344447,0.0,1.7446141,0.512166,2.3260083,0.7814277,0.0,0.0,1.5126512,0.92625827,1.8944775,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,34,2.755396,0.0,0.6974976,0.8063578,0.8264973,0.0,1.2165728,0.20086212,2.4818935,0.8241499,0.0,0.0,1.739878,0.635501,1.6799434,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,35,2.301654,0.0,1.3182884,0.85603404,0.35594395,0.0,1.7477103,0.78819376,2.1534975,0.83645564,0.0,0.0,1.9418865,1.0693791,1.9287212,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,36,2.9932761,0.0,0.867896,1.1566164,0.84366316,0.0,1.582315,0.21371892,1.9477524,0.7450234,0.0,0.0,1.6335067,0.57224816,1.8610046,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,37,2.7424197,0.0,1.389483,1.0530568,0.8610589,0.0,1.8539009,0.42165148,1.9736779,0.6760637,0.0,0.0,1.5513833,0.834883,1.6232698,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,38,2.8531287,0.0,0.9327957,1.0740949,0.80081856,0.0,1.5724316,0.26547807,2.1327732,0.716639,0.0,0.0,1.6501424,0.7647222,1.7910846,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,39,2.4972224,0.0,1.6311935,0.92215645,0.678513,0.0,1.9334236,0.6707356,2.3759007,0.8180247,0.0,0.0,1.5507765,1.1351591,2.0026603,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,40,2.431859,0.0,1.1977293,0.9075221,0.39057383,0.0,1.6818812,0.8353073,2.0934093,0.7794606,0.0,0.0,1.9498218,1.0713345,1.9532969,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,41,3.0944922,0.0,0.9252605,1.1498736,0.9299577,0.0,1.6404634,0.16234457,2.1854482,0.7529649,0.0,0.0,1.5338602,0.5687077,1.651862,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,42,2.8014522,0.0,0.7641214,0.8688173,0.70039606,0.0,1.4539045,0.48953497,2.1469686,0.74614185,0.0,0.0,1.7968197,0.6496319,1.6989735,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,43,2.8050423,0.0,0.82424504,1.0097675,0.7723079,0.0,1.4312449,0.21989699,2.2384317,0.801063,0.0,0.0,1.4771353,0.49135095,1.7341225,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,44,2.7686455,0.0,1.1596571,1.1314903,0.8431213,0.0,1.6233547,0.33347166,2.1442225,0.8225822,0.0,0.0,1.4687355,0.64502835,1.9423317,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,45,2.8486717,0.0,1.0533174,0.9870006,0.93827623,0.0,1.4764545,0.26833686,2.2743301,0.85510266,0.0,0.0,1.5489991,0.5367688,1.7270068,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,46,2.946164,0.0,0.8313287,1.0595598,0.81939286,0.0,1.5288103,0.170387,2.0509126,0.68360996,0.0,0.0,1.5667876,0.59334695,1.593028,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,47,2.8311355,0.0,1.2964164,1.0185112,0.8031431,0.0,1.8095285,0.3933859,2.2856696,0.7400313,0.0,0.0,1.5389432,0.9056701,1.7200032,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,48,2.6850135,0.0,0.99953645,0.93932456,0.7036177,0.0,1.4817349,0.4029999,2.3682556,0.8434905,0.0,0.0,1.6277852,0.7411998,1.8627551,0.0
SpectrumBands_207_228_dab_Swis_207_228.npy,Andrew_GVA,dab,Swis,207,228,49,2.4384625,0.0,1.6457622,0.8929251,0.72202414,0.0,1.8924774,0.6099046,2.3301568,0.7414591,0.0,0.0,1.5431838,1.1712463,1.8070633,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,0,3.545081,0.0,1.2232186,0.6077961,1.5633408,0.0,2.1148093,1.2867239,2.2871237,0.84956473,0.0,0.0,2.3577979,0.22509935,1.6294572,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,1,3.2438107,0.0,1.8727287,0.5430286,1.4343516,0.0,2.4086483,1.7559799,2.25224,0.81294096,0.0,0.0,2.1504447,0.60078907,1.8754768,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,2,3.2993073,0.0,1.677991,0.4506478,1.4801612,0.0,2.250429,1.6647831,2.3880498,0.78907484,0.0,0.0,2.268706,0.65468854,1.8010937,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,3,3.339283,0.0,1.3086783,0.48827177,1.5354512,0.0,1.9821196,1.393425,2.2428913,0.7710611,0.0,0.0,2.176333,0.3289235,1.7226065,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,4,3.3692403,0.0,1.616642,0.53802115,1.4938661,0.0,2.2130127,1.5510188,2.3113053,0.83002204,0.0,0.0,2.1584568,0.38432646,1.6472782,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,5,3.4658334,0.0,1.3561354,0.60033166,1.5694746,0.0,2.056815,1.3563757,2.2338433,0.8449898,0.0,0.0,2.1702685,0.17096889,1.6750636,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,6,3.3341804,0.0,1.461443,0.5959766,1.3798634,0.0,2.23097,1.4033216,2.3427954,0.8207835,0.0,0.0,2.2420175,0.52980494,1.7375305,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,7,3.4727216,0.0,1.0167712,0.5702797,1.4195727,0.0,1.9688835,1.1042749,2.3049078,0.7666862,0.0,0.0,2.2229807,0.27853212,1.5024248,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,8,3.337645,0.0,1.6294535,0.9180977,0.98812,0.0,2.6135707,1.2979232,2.7163167,0.87668854,0.0,0.0,1.9692189,0.9144076,2.1739812,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,9,3.2363904,0.0,1.7139292,0.43054867,1.4223462,0.0,2.3256836,1.7053195,2.3105254,0.72695625,0.0,0.0,2.233823,0.74856365,1.8156321,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,10,3.4538221,0.0,1.2152959,0.5032053,1.57019,0.0,2.0012274,1.3241029,2.23932,0.76616704,0.0,0.0,2.200892,0.26874423,1.7012746,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,11,3.3952544,0.0,1.5483975,0.4888313,1.5408823,0.0,2.1275992,1.5020568,2.3382337,0.83535624,0.0,0.0,2.1977792,0.40452412,1.7108175,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,12,3.4288526,0.0,1.2792258,0.5222436,1.4816613,0.0,2.1095264,1.4405471,2.1408737,0.70765907,0.0,0.0,2.210637,0.4152608,1.7288843,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,13,3.6659744,0.0,0.8622875,0.7389596,1.3496674,0.0,1.8632095,0.8064538,2.7719088,0.8359483,0.0,0.0,1.9016855,0.5023185,2.0460193,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,14,3.5586567,0.0,1.0637683,0.63395953,1.6065778,0.0,1.9825492,1.2137356,2.2200189,0.8223032,0.0,0.0,2.3258321,0.14868498,1.7039739,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,15,3.661133,0.0,0.9801224,0.9504594,1.2298611,0.0,2.1325154,0.78559816,2.8575556,0.9250716,0.0,0.0,1.938255,0.49877012,2.1156063,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,16,3.6416414,0.0,1.1678975,0.9965978,1.0915985,0.0,2.3865433,0.89544827,2.7557871,0.8930894,0.0,0.0,1.8614082,0.56214005,2.005221,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,17,3.673598,0.0,0.8584825,0.9570877,1.1939758,0.0,2.143079,0.73583126,2.7282016,0.884675,0.0,0.0,1.9949418,0.3730158,1.8664198,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,18,3.7395766,0.0,0.973114,1.0584253,1.2294359,0.0,2.2179925,0.73559666,2.793465,0.9189606,0.0,0.0,1.891063,0.39048666,2.0238662,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,19,3.6888459,0.0,0.93489116,0.9952721,1.20514,0.0,2.1728961,0.7596852,2.8088012,0.91851956,0.0,0.0,1.9217823,0.4366657,2.086814,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,20,3.5510457,0.0,1.6609869,1.0680485,1.0220354,0.0,2.7715697,1.2246153,2.720339,0.9085759,0.0,0.0,1.874076,0.84307396,2.2519531,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,21,3.5080335,0.0,1.6813767,0.893332,1.225943,0.0,2.4684873,1.2933227,2.7091887,0.88423187,0.0,0.0,1.8308833,0.8290215,2.2921607,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,22,3.4573042,0.0,1.0739766,0.62646127,1.5211688,0.0,1.9854424,1.2102085,2.171225,0.8045334,0.0,0.0,2.247427,0.11513207,1.6070962,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,23,3.444643,0.0,1.27375,0.60575825,1.4945719,0.0,2.1750064,1.30813,2.1157553,0.7791293,0.0,0.0,2.250516,0.2722926,1.7090855,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,24,3.729758,0.0,1.3619276,0.9425466,1.367351,0.0,2.1914814,0.9692718,2.7373464,0.94449973,0.0,0.0,1.7178091,0.5465438,2.344853,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,25,3.7880032,0.0,1.0017337,0.88171667,1.228499,0.0,2.0984313,0.86015075,2.6407013,0.79559016,0.0,0.0,1.7156129,0.51612204,2.1232295,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,26,3.1721652,0.0,1.7735015,0.52973807,1.3826342,0.0,2.4227574,1.6599063,2.3010328,0.83383274,0.0,0.0,2.3292997,0.6720824,1.8509698,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,27,3.7944283,0.0,0.9690722,0.94359505,1.3237256,0.0,2.0565128,0.86318135,2.6783807,0.86032385,0.0,0.0,1.8006996,0.5169712,2.267023,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,28,3.6658678,0.0,1.3535497,1.042019,1.1260363,0.0,2.525768,1.081056,2.7694652,0.9108808,0.0,0.0,1.9478273,0.720027,2.2521763,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,29,3.2242177,0.0,1.7931626,0.3481893,1.5123127,0.0,2.2220404,1.6311966,2.6324325,0.91463596,0.0,0.0,2.3894367,0.65665305,1.8000408,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,30,3.4204936,0.0,1.2889668,0.5823452,1.5241638,0.0,2.0690699,1.3186828,2.2716165,0.8559414,0.0,0.0,2.280235,0.20909993,1.6418769,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,31,3.3851948,0.0,1.3594542,0.56931716,1.4443893,0.0,2.1908965,1.372835,2.239194,0.7939561,0.0,0.0,2.2869868,0.3438454,1.5776117,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,32,3.3991458,0.0,1.7661798,0.94152284,1.0403095,0.0,2.6629136,1.2791857,2.8083766,0.90359586,0.0,0.0,1.8246747,0.9550362,2.295285,0.0
SpectrumBands_389_395_tetra_Swis_389_395.npy,Andrew_GVA,tetra,Swis,389,395,33,3.6251576,0.0,1.34148,0.8424366,1.2531371,0.0,2.1785927,1.1338884,2.6974201,0.7942502,0.0,0.0,1.6062493,0.7377135,2.2534854,0.0
